1092397418290.0	a181248367	366498568522.0
138742792720.0	516e2e745c	73810952621.0
108082559849.0	1601fecc7f	79402822525.0
251797282335.0	29d56f63ec	530980115159.0
651822622544.0	67be9eb2e5	618639148003.0
817909238810.0	3a24c42894	441595633456.0
427513930052.0	42fbf1e0a9	759755785197.0
409652918460.0	e0e09bcb7b	487633962255.0
126536040328.0	a2c6f80ea6	325262414951.0
195809963606.0	7d67e33166	58693978128.0
426363751898.0	4f67c53e66	1037516316531.0
51702292002.0	37c64b233a	206747200377.0
945246123121.0	8739a9cebb	639796038157.0
